current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_up.started,set_up.stopped,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,key_resp_3.started,polygon_2.started,blank_trial.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,block.started,text_2.started,text_2.stopped,block.stopped,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,key_resp_3.stopped,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images/21_40 copy 2.jpg,0,28,0,0,0,0,28,28,28,533.9072956330019,,,,,,,,,,,,,,,,,,533.901411324001,537.900854669002,None,537.901022086,,,537.9010576280016,None,,,537.9011613780021,537.9166825840002,,542.9025440840014,533.9072956330019,534.9012795689996,534.9012795689996,537.9006328460018,537.9006328460018,537.9166825840002,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/pair01 copy 4.jpg,0,29,0,0,0,0,29,29,29,542.9107741770022,,,,,,,,,,,,,,,,,,542.9027932130011,546.8950192060001,None,546.8953255289998,,,546.8953958330021,None,,,546.895629057999,546.900781659002,551.8926657480006,551.8868112300006,542.9107741770022,543.891059395999,543.891059395999,546.8827622569988,546.8827622569988,546.900781659002,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/blank.jpg,0,30,1,0,0,0,30,30,30,551.8926657480006,,,,,,,,,,,,,,,,,,551.8870189789995,551.8888025870001,None,551.8888877050013,551.8926657480006,551.8926657480006,555.8746138339993,None,,,555.8747129360017,555.8786010309996,560.8740417529989,560.8661206620018,,,,,,,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/21_28.jpg,0,31,0,0,0,0,31,31,31,560.8740417529989,,,,,,,,,,,,,,,,,,560.8664510310009,564.8576169619992,None,564.8577272120019,,,564.8577613330017,None,,,564.8578350390017,564.8616052840007,569.8544526850019,569.8480024009987,560.8740417529989,561.8620167879999,561.8620167879999,564.8513236020008,564.8513236020008,564.8616052840007,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/pair05 copy 7.jpg,0,32,0,0,0,0,32,32,32,569.8544526850019,,,,,,,,,,,,,,,,,,569.8481793069986,573.8496254710008,None,573.8498319440005,,,573.8498764290016,None,,,573.8500036080004,573.8549705229998,578.8502081180013,578.8411184780016,569.8544526850019,570.8645133739992,570.8645133739992,573.8549705229998,573.8549705229998,573.8413403470004,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/20_40 copy.jpg,0,33,0,0,0,0,33,33,33,578.8502081180013,,,,,,,,,,,,,,,,,,578.8414387209996,582.8358626510017,None,582.8359562629994,,,582.8359768890004,None,,,582.836036105,582.8395780390019,587.831214845999,587.8248013420016,578.8502081180013,579.8401873020011,579.8401873020011,582.8296719329992,582.8296719329992,582.8395780390019,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/16_12 copy 2.jpg,0,34,0,0,0,0,34,34,34,587.831214845999,,,,,,,,,,,,,,,,,,587.825000443001,591.8150270090009,None,591.8151993690008,,,591.8152356339997,None,,,591.8153387720013,591.8199449950007,596.8142707340012,596.8050218120006,587.831214845999,588.8233778590002,588.8233778590002,591.810732173999,591.810732173999,591.8199449950007,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/11_0 copy 6.jpg,0,35,0,0,0,0,35,35,35,596.8142707340012,,,,,,,,,,,,,,,,,,596.8054021349999,600.7977553109995,None,600.7979041780018,,,600.7979383579986,None,,,600.7980406019997,600.8025505969999,605.7960939330005,605.788047566999,596.8142707340012,597.8031532710011,597.8031532710011,600.7937566360015,600.7937566360015,600.8025505969999,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/11_0 copy.jpg,0,36,0,0,0,0,36,36,36,605.7960939330005,,,,,,,,,,,,,,,,,,605.7883626799994,609.7831019520017,None,609.7833072969988,,,609.7833506880015,None,,,609.783478841,609.7881414450021,614.7773484339996,614.7712735360001,605.7960939330005,606.7860433880014,606.7860433880014,609.7740610479996,609.7740610479996,609.7881414450021,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/10_0 copy.jpg,0,37,0,0,0,0,37,37,37,614.7773484339996,,,,,,,,,,,,,,,,,,614.7714792369989,618.7608397479999,None,618.7609522780003,,,618.7609775359997,None,,,618.7610495289991,618.7645329510015,623.7612505069992,623.7520441209999,614.7773484339996,615.7712009390016,615.7712009390016,618.7576419040015,618.7576419040015,618.7645329510015,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/pair09 copy.jpg,0,38,0,0,0,0,38,38,38,623.7612505069992,,,,,,,,,,,,,,,,,,623.7523590990022,627.747170052,None,627.7473141609989,,,627.7473486070012,None,,,627.7474480109995,627.7516739009989,632.743453002,632.7372322070005,623.7612505069992,624.7497547300009,624.7497547300009,627.7371793349994,627.7371793349994,627.7516739009989,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/18_12 copy 3.jpg,0,39,0,0,0,0,39,39,39,632.743453002,,,,,,,,,,,,,,,,,,632.7374484110005,636.7292736970012,None,636.7293862469996,,,636.7294105530018,None,,,636.7294806159989,636.733535547999,641.7294191420006,641.7212278229999,632.743453002,633.7346908079999,633.7346908079999,636.7229445020021,636.7229445020021,636.733535547999,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/blank.jpg,0,40,1,0,0,0,40,40,40,641.7294191420006,,,,,,,,,,,,,,,,,,641.721612354002,641.7251764700013,None,641.7253283009995,641.7294191420006,641.7294191420006,645.7109004840022,None,,,645.7110222720003,645.7146511409992,650.7058586989988,650.7000448639992,,,,,,,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/15_40 copy.jpg,0,41,0,0,0,0,41,41,41,650.7058586989988,,,,,,,,,,,,,,,,,,650.7002561930021,654.6908975299993,None,654.6910064959993,,,654.6910316719986,None,,,654.6911036509991,654.6946046049998,659.6869706639991,659.6788654570009,650.7058586989988,651.7009843199994,651.7009843199994,654.687714513002,654.687714513002,654.6946046049998,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/17_40 copy 5.jpg,0,42,0,0,0,0,42,42,42,659.6869706639991,,,,,,,,,,,,,,,,,,659.6791569160014,663.6709723919994,None,663.671090652002,,,663.6711163340005,None,,,663.6711870850013,663.6747458940008,668.6680275200015,668.660271187,659.6869706639991,660.6811311009988,660.6811311009988,663.670820198,663.670820198,663.6747458940008,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/13_28 copy 7.jpg,0,43,0,0,0,0,43,43,43,668.6680275200015,,,,,,,,,,,,,,,,,,668.6605347770019,672.65236448,None,672.6525211469998,,,672.652551217001,None,,,672.6526515120022,672.656456828001,677.6483347360008,677.6412061430019,668.6680275200015,669.6600764540017,669.6600764540017,672.6486141610003,672.6486141610003,672.656456828001,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/pair11 copy 4.jpg,0,44,0,0,0,0,44,44,44,677.6483347360008,,,,,,,,,,,,,,,,,,677.6413846040014,681.6336037789988,None,681.6338201979997,,,681.6338685869996,None,,,681.6340079180009,681.6389260159995,686.6329076959992,686.6229826460003,677.6483347360008,678.6420166989992,678.6420166989992,681.6333269240022,681.6333269240022,681.6389260159995,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/14_28 copy 4.jpg,0,45,0,0,0,0,45,45,45,686.6329076959992,,,,,,,,,,,,,,,,,,686.6233708319996,690.6179567139989,None,690.6181296940013,,,690.6181656080007,None,,,690.6182670099988,690.6229197430002,695.6162405700015,695.6073623609991,686.6329076959992,687.623061827002,687.623061827002,690.613210071002,690.613210071002,690.6229197430002,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
